INSEE;NOM;NOM_COUV;COM/EPCI;POP;STRATE;X;Y;NOM2;CP
200000172;CC Faucigny-Glières;CC Faucigny-Glières;EPCI;27218;4;722947;5795581.317;CC Faucigny-Glières;
200000438;CC Pontchâteau SGB;CC du Pays de Pontchâteau St-Gildas-des-Bois;EPCI;35917;4;-239734;6008352.589;CC du Pays de Pontchâteau St-Gildas-des-Bois;
200000545;CC des Ptes de Romilly sur S.;CC des Portes de Romilly sur Seine;EPCI;18739;4;404764;6193574.642;CC des Portes de Romilly sur Seine;
200000628;CC Rhône Lez Provence;CC Rhône Lez Provence;EPCI;24224;4;520958;5513018.626;CC Rhône Lez Provence;
200000800;CC Coeur de Sologne;CC Coeur de Sologne;EPCI;10437;4;214071;6042851.951;CC Coeur de Sologne;
200000925;CC de la Plaine Dijonnaise;CC de la Plaine Dijonnaise;EPCI;22009;4;585645;5981013.006;CC de la Plaine Dijonnaise;
200000933;CC Sauldre et Sologne;CC Sauldre et Sologne;EPCI;14511;4;259491;6034452.886;CC Sauldre et Sologne;
200004802;CC du Pays de Fayence;CC du Pays de Fayence;EPCI;28550;4;743448;5405330.38;CC du Pays de Fayence;
200005932;CC des Portes de Sologne;CC des Portes de Sologne;EPCI;15489;4;214519;6059106.778;CC des Portes de Sologne;
200005957;CC de la Rég. de Rambervillers;CC de la Région de Rambervillers;EPCI;12958;4;726707;6174695.525;CC de la Région de Rambervillers;
200006682;CA Beaune Côte et Sud;CA Beaune. Côte et Sud-Communauté Beaune-Chagny-Nolay;EPCI;50678;5;534700;5955232.072;CA Beaune. Côte et Sud-Communauté Beaune-Chagny-Nolay;
200006716;CC du Nogentais;CC du Nogentais;EPCI;16712;4;382694;6171097.259;CC du Nogentais;
200006930;CC du Haut Allier;CC du Haut Allier;EPCI;5170;3;417800;5578013.543;CC du Haut Allier;
200006971;CC du Perche;CC du Perche;EPCI;18056;4;100066;6162745.558;CC du Perche;
200007052;CC de la Marche Berrichonne;CC de la Marche Berrichonne;EPCI;5571;3;215635;5855844.652;CC de la Marche Berrichonne;
200007177;CC Pays de Nérondes;CC Pays de Nérondes;EPCI;4764;3;304072;5922847.582;CC Pays de Nérondes;
200010650;CA du Grand Dole;CA du Grand Dole;EPCI;54514;5;606859;5965843.667;CA du Grand Dole;
200010700;CA Caux Seine Agglo;CA Caux Seine Agglo;EPCI;77889;5;57192;6368701.274;CA Caux Seine Agglo;
200011773;CA Annemasse;CA Annemasse-Les Voirons-Agglomération;EPCI;92176;6;696986;5813249.522;CA Annemasse-Les Voirons-Agglomération;
200011781;CC Ptes du Berry entre L. et VdA;CC Portes du Berry entre Loire et Val d'Aubois;EPCI;9511;3;334329;5949439.598;CC Portes du Berry entre Loire et Val d'Aubois;
200013050;CC Sauer-Pechelbronn;CC Sauer-Pechelbronn;EPCI;17394;4;865404;6267962.128;CC Sauer-Pechelbronn;
200015162;CC de l'Oriente;CC de l'Oriente;EPCI;6032;3;1058643;5193658.718;CC de l'Oriente;
200016905;CC du Pays de Lamastre;CC du Pays de Lamastre;EPCI;6695;3;506068;5626957.961;CC du Pays de Lamastre;
200017341;CC Lodévois et Larzac;CC Lodévois et Larzac;EPCI;14792;4;368939;5440583.296;CC Lodévois et Larzac;
200017846;CA Etampois Sud Essonne;CA Etampois Sud Essonne;EPCI;55281;5;232392;6180501.116;CA Etampois Sud Essonne;
200018083;CC de Desvres-Samer;CC de Desvres-Samer;EPCI;23289;4;210326;6567695.767;CC de Desvres-Samer;
200018166;CC Le Grésivaudan;CC Le Grésivaudan;EPCI;102259;7;663344;5670654.693;CC Le Grésivaudan;
200018406;CC du Romorantinais et du M.;CC du Romorantinais et du Monestois;EPCI;33817;4;185944;5989456.819;CC du Romorantinais et du Monestois;
200018521;CC du Val de Bouzanne;CC du Val de Bouzanne;EPCI;5979;3;202282;5884446.048;CC du Val de Bouzanne;
200018653;CA CAP Excellence;CA CAP Excellence;EPCI;97762;6;-502543;5165767.783;CA CAP Excellence;
200022986;CC du Grand Pic Saint-Loup;CC du Grand Pic Saint-Loup;EPCI;50490;5;424851;5438555.535;CC du Grand Pic Saint-Loup;
200023075;CC du Pays de Maîche;CC du Pays de Maîche;EPCI;18672;4;771572;5997835.236;CC du Pays de Maîche;
200023125;CC Les Ptes Briardes Entre VF;CC Les Portes Briardes Entre Villes et Forêts;EPCI;45988;4;298362;6234901.523;CC Les Portes Briardes Entre Villes et Forêts;
200023240;CC Pays de Nemours;CC Pays de Nemours;EPCI;29469;4;296770;6151026.471;CC Pays de Nemours;
200023299;CC Coeur de Tarentaise;CC Coeur de Tarentaise;EPCI;9094;3;735198;5701069.447;CC Coeur de Tarentaise;
200023307;CA du Grand Villeneuvois;CA du Grand Villeneuvois;EPCI;47561;4;74589;5529169.758;CA du Grand Villeneuvois;
200023372;CC Vallée de Chamonix-Mt-Blc;CC de la Vallée de Chamonix-Mont-Blanc;EPCI;13296;4;770780;5769353.163;CC de la Vallée de Chamonix-Mont-Blanc;
200023414;Métropole Rouen Normandie;Métropole Rouen Normandie;EPCI;496629;7;111029;6321879.886;Métropole Rouen Normandie;
200023620;CC de la Gascogne Toulousaine;CC de la Gascogne Toulousaine;EPCI;22505;4;109528;5398256.868;CC de la Gascogne Toulousaine;
200023737;CA du Grand Cahors;CA du Grand Cahors;EPCI;42142;4;156766;5550629.018;CA du Grand Cahors;
200023778;CC du Pays de St Gilles-CdV;CC du Pays de St Gilles-Croix-de-Vie;EPCI;51560;5;-203204;5888508.282;CC du Pays de St Gilles-Croix-de-Vie;
200023794;CC de Blaye;CC de Blaye;EPCI;20151;4;-74552;5641644.526;CC de Blaye;
200023919;CC Gâtinais Val de Loing;CC Gâtinais Val de Loing;EPCI;18546;4;326001;6141038.733;CC Gâtinais Val de Loing;
200026573;CC Haut-Jura Saint-Claude;CC Haut-Jura Saint-Claude;EPCI;19793;4;668924;5843304.57;CC Haut-Jura Saint-Claude;
200027027;CC Arc Sud Bretagne;CC Arc Sud Bretagne;EPCI;28448;4;-287847;6027757.705;CC Arc Sud Bretagne;
200027076;CC Arnon Boischaut Cher;CC Arnon Boischaut Cher;EPCI;8012;3;255502;5929174.494;CC Arnon Boischaut Cher;
200027100;CC Méd Pte des Maures;CC Méditerranée Porte des Maures;EPCI;45871;4;687883;5347745.17;CC Méditerranée Porte des Maures;
200027183;CU Perpignan Méd Métro;CU Perpignan Méditerranée Métropole;EPCI;270610;7;334164;5280704.759;CU Perpignan Méditerranée Métropole;
200027217;CC Sarlat-Périgord Noir;CC Sarlat-Périgord Noir;EPCI;16106;4;133595;5614533.753;CC Sarlat-Périgord Noir;
200027308;CC d'Auberive Vingeanne et M.;CC d'Auberive Vingeanne et Montsaugeonnais;EPCI;8178;3;592854;6063541.668;CC d'Auberive Vingeanne et Montsaugeonnais;
200027548;CC des Savanes;CC des Savanes;EPCI;29633;4;-160527;5209854.942;CC des Savanes;
200029734;CC des 4B Sud Charente;CC des 4B Sud Charente;EPCI;19926;4;1248;5680129.187;CC des 4B Sud Charente;
200029999;CC Rives de l'Ain-Pays du C.;CC Rives de l'Ain-Pays du Cerdon;EPCI;14664;4;607528;5799969.591;CC Rives de l'Ain-Pays du Cerdon;
200030195;Métropole Nice Côte d'Azur;Métropole Nice Côte d'Azur;EPCI;553305;7;820651;5464768.672;Métropole Nice Côte d'Azur;
200030385;CA de Blois ''Agglopolys'';CA de Blois ''Agglopolys'';EPCI;106117;7;122631;6034876.71;CA de Blois ''Agglopolys'';
200030435;CC d'Aire-sur-l'Adour;CC d'Aire-sur-l'Adour;EPCI;12850;4;-46588;5416057.013;CC d'Aire-sur-l'Adour;
200030526;CC du Ried de Marckolsheim;CC du Ried de Marckolsheim;EPCI;20425;4;836085;6140860.559;CC du Ried de Marckolsheim;
200030633;CA du Caudrésis et du Catésis;CA du Caudrésis et du Catésis;EPCI;63789;5;385903;6452821.505;CA du Caudrésis et du Catésis;
200030658;CC du Trièves;CC du Trièves;EPCI;10178;4;632192;5598492.289;CC du Trièves;
200030674;CA Val de Garonne Agglo;CA Val de Garonne Agglomération;EPCI;60159;5;32524;5537095.415;CA Val de Garonne Agglomération;
200032514;CC Berry-Loire-Vauvise;CC Berry-Loire-Vauvise;EPCI;5435;3;326720;5970415.04;CC Berry-Loire-Vauvise;
200033025;CA de Bar-le-Duc-Sud Meuse;CA de Bar-le-Duc-Sud Meuse;EPCI;33980;4;600493;6211767.637;CA de Bar-le-Duc-Sud Meuse;
200033090;CC Plaines et Monts de France;CC Plaines et Monts de France;EPCI;25413;4;309249;6278290.095;CC Plaines et Monts de France;
200033116;CC Cluses-Arve et Montagnes;CC Cluses-Arve et Montagnes;EPCI;46553;4;726120;5788721.319;CC Cluses-Arve et Montagnes;
200033173;CC de la Haute Vallée de C.;CC de la Haute Vallée de Chevreuse;EPCI;24989;4;226801;6225308.4;CC de la Haute Vallée de Chevreuse;
200033181;CA Chartres Métropole;CA Chartres Métropole;EPCI;136800;7;161302;6170699.96;CA Chartres Métropole;
200033298;CC des Coëvrons;CC des Coëvrons;EPCI;27182;4;-50042;6140265.004;CC des Coëvrons;
200033579;CU d'Arras;CU d'Arras;EPCI;109592;7;307310;6490202.444;CU d'Arras;
200033827;CC de Fium'Orbu Castellu;CC de Fium'Orbu Castellu;EPCI;13130;4;1037582;5142982.081;CC de Fium'Orbu Castellu;
200033868;CC des Ballons des Htes-Vosges;CC des Ballons des Hautes-Vosges;EPCI;14877;4;763084;6081374.192;CC des Ballons des Hautes-Vosges;
200034023;CC Tarn-Agout;CC Tarn-Agout;EPCI;29450;4;190450;5409325.915;CC Tarn-Agout;
200034031;CC des Monts d'Alban et du V.;CC des Monts d'Alban et du Villefranchois;EPCI;6417;3;258591;5448750.243;CC des Monts d'Alban et du Villefranchois;
200034049;CC Centre Tarn;CC Centre Tarn;EPCI;11173;4;235270;5432740.561;CC Centre Tarn;
200034056;CC du Lautrécois et du Pays d'A.;CC du Lautrécois et du Pays d'Agout;EPCI;14317;4;214325;5410818.583;CC du Lautrécois et du Pays d'Agout;
200034064;CC du Cordais et du Causse (4 C);CC du Cordais et du Causse (4 C);EPCI;5236;3;215210;5481725.038;CC du Cordais et du Causse (4 C);
200034098;CC des Montagnes du Giffre;CC des Montagnes du Giffre;EPCI;12126;4;738506;5794713.251;CC des Montagnes du Giffre;
200034130;CC Gally Mauldre;CC Gally Mauldre;EPCI;22184;4;210432;6258394.602;CC Gally Mauldre;
200034197;CC de Montaigne M. et G.;CC de Montaigne Montravel et Gurson;EPCI;11946;4;1871;5598363.148;CC de Montaigne Montravel et Gurson;
200034205;CC de la Costa Verde;CC de la Costa Verde;EPCI;10748;4;1058361;5223776.005;CC de la Costa Verde;
200034270;CC du Pays de Barr;CC du Pays de Barr;EPCI;24119;4;824567;6168568.632;CC du Pays de Barr;
200034379;CC Pays d'Uzès;CC Pays d'Uzès;EPCI;29036;4;499212;5472096.694;CC Pays d'Uzès;
200034411;CC du Piémont Cévenol;CC du Piémont Cévenol;EPCI;22136;4;434808;5455916.298;CC du Piémont Cévenol;
200034601;CC Causses Aigoual Cévennes;CC Causses Aigoual Cévennes;EPCI;5313;3;426168;5481857.241;CC Causses Aigoual Cévennes;
200034635;CC du Kochersberg;CC du Kochersberg;EPCI;26538;4;843681;6214086.01;CC du Kochersberg;
200034692;CA du Gard Rhodanien;CA du Gard Rhodanien;EPCI;74755;5;508504;5509366.751;CA du Gard Rhodanien;
200034700;Durance-Lubéron-Verdon Agglo;CA Durance-Lubéron-Verdon Agglomération;EPCI;63316;5;684485;5437873.03;CA Durance-Lubéron-Verdon Agglomération;
200034718;CC de Vitry. Champagne et Der;CC de Vitry. Champagne et Der;EPCI;23654;4;501868;6220664.495;CC de Vitry. Champagne et Der;
200034726;CC Bastides de Lomagne;CC Bastides de Lomagne;EPCI;11285;4;110495;5416387.565;CC Bastides de Lomagne;
200034825;CA du Grand Guéret;CA du Grand Guéret;EPCI;28427;4;213402;5796448.917;CA du Grand Guéret;
200034833;CC des Bastides Dordogne-P.;CC des Bastides Dordogne-Périgord;EPCI;18625;4;75356;5610778.599;CC des Bastides Dordogne-Périgord;
200034874;CC Côtes de Meuse Woëvre;CC Côtes de Meuse Woëvre;EPCI;5983;3;640645;6264509.533;CC Côtes de Meuse Woëvre;
200034882;CC Pays du Mont-Blanc;CC Pays du Mont-Blanc;EPCI;45436;4;741705;5765451.71;CC Pays du Mont-Blanc;
